label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
adequadas para corte,47,0,42,102,119_orelha_de_elefante.jpg,640,640
adequadas para corte,111,11,78,227,119_orelha_de_elefante.jpg,640,640
adequadas para corte,15,273,71,86,119_orelha_de_elefante.jpg,640,640
adequadas para corte,266,313,54,115,119_orelha_de_elefante.jpg,640,640
adequadas para corte,411,227,114,102,119_orelha_de_elefante.jpg,640,640
adequadas para corte,391,293,51,69,119_orelha_de_elefante.jpg,640,640
adequadas para corte,339,228,69,82,119_orelha_de_elefante.jpg,640,640
adequadas para corte,285,0,63,153,119_orelha_de_elefante.jpg,640,640
adequadas para corte,333,0,53,73,119_orelha_de_elefante.jpg,640,640
inadequadas para corte,291,168,41,79,119_orelha_de_elefante.jpg,640,640
inadequadas para corte,556,226,43,46,119_orelha_de_elefante.jpg,640,640
inadequadas para corte,575,282,51,33,119_orelha_de_elefante.jpg,640,640
inadequadas para corte,546,304,45,60,119_orelha_de_elefante.jpg,640,640
inadequadas para corte,481,300,51,60,119_orelha_de_elefante.jpg,640,640
inadequadas para corte,498,371,38,48,119_orelha_de_elefante.jpg,640,640
inadequadas para corte,169,337,73,131,119_orelha_de_elefante.jpg,640,640
inadequadas para corte,129,403,56,110,119_orelha_de_elefante.jpg,640,640
inadequadas para corte,197,456,62,58,119_orelha_de_elefante.jpg,640,640
inadequadas para corte,0,428,31,71,119_orelha_de_elefante.jpg,640,640
inadequadas para corte,112,269,56,74,119_orelha_de_elefante.jpg,640,640
adequadas para corte,138,203,84,87,119_orelha_de_elefante.jpg,640,640
inadequadas para corte,288,376,100,77,120_orelha_de_elefante.jpg,640,640
inadequadas para corte,353,331,78,73,120_orelha_de_elefante.jpg,640,640
inadequadas para corte,290,283,85,97,120_orelha_de_elefante.jpg,640,640
inadequadas para corte,229,226,89,76,120_orelha_de_elefante.jpg,640,640
inadequadas para corte,166,179,76,108,120_orelha_de_elefante.jpg,640,640
inadequadas para corte,96,237,86,128,120_orelha_de_elefante.jpg,640,640
inadequadas para corte,40,80,69,140,120_orelha_de_elefante.jpg,640,640
inadequadas para corte,171,31,40,130,120_orelha_de_elefante.jpg,640,640
inadequadas para corte,206,73,38,78,120_orelha_de_elefante.jpg,640,640
inadequadas para corte,151,0,61,104,120_orelha_de_elefante.jpg,640,640
inadequadas para corte,347,38,96,150,120_orelha_de_elefante.jpg,640,640
inadequadas para corte,256,122,67,118,120_orelha_de_elefante.jpg,640,640
adequadas para corte,419,179,111,130,120_orelha_de_elefante.jpg,640,640
adequadas para corte,480,110,74,103,120_orelha_de_elefante.jpg,640,640
adequadas para corte,536,282,99,57,120_orelha_de_elefante.jpg,640,640
adequadas para corte,0,342,147,173,120_orelha_de_elefante.jpg,640,640
adequadas para corte,176,273,96,131,120_orelha_de_elefante.jpg,640,640
adequadas para corte,102,262,139,173,121_orelha_de_elefante.jpg,640,640
adequadas para corte,508,444,104,126,121_orelha_de_elefante.jpg,640,640
adequadas para corte,262,367,113,119,121_orelha_de_elefante.jpg,640,640
adequadas para corte,86,467,48,159,121_orelha_de_elefante.jpg,640,640
adequadas para corte,0,342,111,131,121_orelha_de_elefante.jpg,640,640
adequadas para corte,2,451,92,176,121_orelha_de_elefante.jpg,640,640
inadequadas para corte,258,476,83,110,121_orelha_de_elefante.jpg,640,640
inadequadas para corte,195,402,78,117,121_orelha_de_elefante.jpg,640,640
inadequadas para corte,108,172,139,82,121_orelha_de_elefante.jpg,640,640
inadequadas para corte,441,347,83,81,121_orelha_de_elefante.jpg,640,640
inadequadas para corte,383,313,91,67,121_orelha_de_elefante.jpg,640,640
inadequadas para corte,383,383,94,95,121_orelha_de_elefante.jpg,640,640
inadequadas para corte,342,457,70,78,121_orelha_de_elefante.jpg,640,640
inadequadas para corte,67,453,159,154,122_orelha_de_elefante.jpg,640,640
inadequadas para corte,423,456,96,167,122_orelha_de_elefante.jpg,640,640
inadequadas para corte,338,426,228,49,122_orelha_de_elefante.jpg,640,640
inadequadas para corte,11,562,199,78,122_orelha_de_elefante.jpg,640,640
inadequadas para corte,473,484,87,55,122_orelha_de_elefante.jpg,640,640
inadequadas para corte,189,385,51,73,122_orelha_de_elefante.jpg,640,640
inadequadas para corte,120,277,151,101,122_orelha_de_elefante.jpg,640,640
inadequadas para corte,255,118,72,51,122_orelha_de_elefante.jpg,640,640
inadequadas para corte,312,150,135,116,122_orelha_de_elefante.jpg,640,640
inadequadas para corte,431,192,184,63,122_orelha_de_elefante.jpg,640,640
inadequadas para corte,518,108,122,87,122_orelha_de_elefante.jpg,640,640
inadequadas para corte,468,18,91,124,122_orelha_de_elefante.jpg,640,640
inadequadas para corte,356,60,113,68,122_orelha_de_elefante.jpg,640,640
inadequadas para corte,209,0,127,115,122_orelha_de_elefante.jpg,640,640
adequadas para corte,0,29,108,131,122_orelha_de_elefante.jpg,640,640
adequadas para corte,39,285,150,95,122_orelha_de_elefante.jpg,640,640
adequadas para corte,95,176,175,119,122_orelha_de_elefante.jpg,640,640
adequadas para corte,228,279,153,125,122_orelha_de_elefante.jpg,640,640
adequadas para corte,582,409,58,98,122_orelha_de_elefante.jpg,640,640
adequadas para corte,422,250,91,130,122_orelha_de_elefante.jpg,640,640
adequadas para corte,309,370,200,65,122_orelha_de_elefante.jpg,640,640
adequadas para corte,500,297,95,68,122_orelha_de_elefante.jpg,640,640
adequadas para corte,230,152,90,122,122_orelha_de_elefante.jpg,640,640
inadequadas para corte,70,192,128,81,123_orelha_de_elefante.jpg,640,640
inadequadas para corte,39,0,114,104,123_orelha_de_elefante.jpg,640,640
inadequadas para corte,231,45,90,32,123_orelha_de_elefante.jpg,640,640
inadequadas para corte,133,118,51,63,123_orelha_de_elefante.jpg,640,640
inadequadas para corte,279,115,203,29,123_orelha_de_elefante.jpg,640,640
inadequadas para corte,414,57,62,49,123_orelha_de_elefante.jpg,640,640
inadequadas para corte,352,0,95,131,123_orelha_de_elefante.jpg,640,640
inadequadas para corte,499,87,55,82,123_orelha_de_elefante.jpg,640,640
inadequadas para corte,604,151,36,80,123_orelha_de_elefante.jpg,640,640
inadequadas para corte,430,376,127,87,123_orelha_de_elefante.jpg,640,640
inadequadas para corte,539,478,47,76,123_orelha_de_elefante.jpg,640,640
inadequadas para corte,343,318,169,62,123_orelha_de_elefante.jpg,640,640
inadequadas para corte,244,300,121,102,123_orelha_de_elefante.jpg,640,640
inadequadas para corte,274,419,100,72,123_orelha_de_elefante.jpg,640,640
inadequadas para corte,183,393,56,34,123_orelha_de_elefante.jpg,640,640
inadequadas para corte,131,544,117,96,123_orelha_de_elefante.jpg,640,640
inadequadas para corte,0,465,102,157,123_orelha_de_elefante.jpg,640,640
inadequadas para corte,244,479,121,112,123_orelha_de_elefante.jpg,640,640
inadequadas para corte,364,419,85,110,123_orelha_de_elefante.jpg,640,640
adequadas para corte,370,509,206,125,123_orelha_de_elefante.jpg,640,640
adequadas para corte,550,351,90,96,123_orelha_de_elefante.jpg,640,640
adequadas para corte,45,267,138,110,123_orelha_de_elefante.jpg,640,640
adequadas para corte,7,121,105,138,123_orelha_de_elefante.jpg,640,640
adequadas para corte,176,158,120,135,123_orelha_de_elefante.jpg,640,640
adequadas para corte,142,0,71,137,123_orelha_de_elefante.jpg,640,640
adequadas para corte,340,205,72,113,123_orelha_de_elefante.jpg,640,640
adequadas para corte,258,147,171,55,123_orelha_de_elefante.jpg,640,640
inadequadas para corte,103,414,143,113,123_orelha_de_elefante.jpg,640,640
inadequadas para corte,158,443,81,105,124_orelha_de_elefante.jpg,640,640
inadequadas para corte,49,408,120,74,124_orelha_de_elefante.jpg,640,640
inadequadas para corte,94,325,151,83,124_orelha_de_elefante.jpg,640,640
inadequadas para corte,238,294,108,114,124_orelha_de_elefante.jpg,640,640
inadequadas para corte,358,411,104,121,124_orelha_de_elefante.jpg,640,640
inadequadas para corte,245,482,127,112,124_orelha_de_elefante.jpg,640,640
inadequadas para corte,390,538,95,102,124_orelha_de_elefante.jpg,640,640
inadequadas para corte,379,184,143,70,124_orelha_de_elefante.jpg,640,640
inadequadas para corte,427,98,213,102,124_orelha_de_elefante.jpg,640,640
inadequadas para corte,396,0,140,88,124_orelha_de_elefante.jpg,640,640
inadequadas para corte,84,119,208,49,124_orelha_de_elefante.jpg,640,640
inadequadas para corte,109,0,107,139,124_orelha_de_elefante.jpg,640,640
adequadas para corte,147,217,109,118,124_orelha_de_elefante.jpg,640,640
adequadas para corte,161,147,175,72,124_orelha_de_elefante.jpg,640,640
adequadas para corte,363,0,56,158,124_orelha_de_elefante.jpg,640,640
adequadas para corte,284,162,116,121,124_orelha_de_elefante.jpg,640,640
adequadas para corte,396,242,139,125,124_orelha_de_elefante.jpg,640,640
adequadas para corte,47,528,198,112,124_orelha_de_elefante.jpg,640,640
inadequadas para corte,511,441,129,146,124_orelha_de_elefante.jpg,640,640
adequadas para corte,212,242,306,188,125_orelha_de_elefante.jpg,640,640
adequadas para corte,151,425,233,187,125_orelha_de_elefante.jpg,640,640
adequadas para corte,375,457,207,152,125_orelha_de_elefante.jpg,640,640
inadequadas para corte,18,0,394,251,125_orelha_de_elefante.jpg,640,640
inadequadas para corte,379,96,234,87,125_orelha_de_elefante.jpg,640,640
inadequadas para corte,329,0,264,106,125_orelha_de_elefante.jpg,640,640
inadequadas para corte,272,548,208,83,126_orelha_de_elefante.jpg,640,640
inadequadas para corte,103,0,202,70,126_orelha_de_elefante.jpg,640,640
inadequadas para corte,5,62,177,94,126_orelha_de_elefante.jpg,640,640
inadequadas para corte,59,420,300,171,126_orelha_de_elefante.jpg,640,640
