label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Cortar,238,300,347,231,58_orelha_de_elefante.jpg,640,640
Não Cortar,286,23,128,251,58_orelha_de_elefante.jpg,640,640
Não Cortar,567,257,73,111,58_orelha_de_elefante.jpg,640,640
Não Cortar,1,239,228,221,58_orelha_de_elefante.jpg,640,640
Cortar,0,451,126,164,58_orelha_de_elefante.jpg,640,640
Cortar,128,534,182,106,58_orelha_de_elefante.jpg,640,640
Não Cortar,31,0,67,133,58_orelha_de_elefante.jpg,640,640
Cortar,470,113,170,137,58_orelha_de_elefante.jpg,640,640
Não Cortar,232,117,53,56,58_orelha_de_elefante.jpg,640,640
Não Cortar,430,31,108,156,59_orelha_de_elefante.jpg,640,640
Não Cortar,297,2,59,140,59_orelha_de_elefante.jpg,640,640
Não Cortar,527,398,58,102,59_orelha_de_elefante.jpg,640,640
Não Cortar,503,496,44,76,59_orelha_de_elefante.jpg,640,640
Cortar,63,80,65,119,59_orelha_de_elefante.jpg,640,640
Não Cortar,261,198,72,72,59_orelha_de_elefante.jpg,640,640
Não Cortar,361,238,52,84,59_orelha_de_elefante.jpg,640,640
Não Cortar,544,20,65,195,59_orelha_de_elefante.jpg,640,640
Não Cortar,498,220,77,99,59_orelha_de_elefante.jpg,640,640
Não Cortar,156,173,77,97,59_orelha_de_elefante.jpg,640,640
Não Cortar,279,275,26,34,59_orelha_de_elefante.jpg,640,640
Não Cortar,360,373,55,121,59_orelha_de_elefante.jpg,640,640
Não Cortar,77,396,31,67,59_orelha_de_elefante.jpg,640,640
Não Cortar,128,494,43,77,59_orelha_de_elefante.jpg,640,640
Não Cortar,131,440,33,41,59_orelha_de_elefante.jpg,640,640
Não Cortar,5,480,71,75,59_orelha_de_elefante.jpg,640,640
Não Cortar,297,488,22,49,59_orelha_de_elefante.jpg,640,640
Não Cortar,451,378,41,56,59_orelha_de_elefante.jpg,640,640
Não Cortar,60,544,59,88,59_orelha_de_elefante.jpg,640,640
Não Cortar,158,580,47,54,59_orelha_de_elefante.jpg,640,640
Não Cortar,365,318,70,63,59_orelha_de_elefante.jpg,640,640
Não Cortar,4,0,149,107,60_orelha_de_elefante.jpg,640,640
Não Cortar,314,269,24,70,60_orelha_de_elefante.jpg,640,640
Não Cortar,164,199,67,128,60_orelha_de_elefante.jpg,640,640
Cortar,392,324,150,132,60_orelha_de_elefante.jpg,640,640
Não Cortar,558,472,49,89,60_orelha_de_elefante.jpg,640,640
Não Cortar,482,519,43,63,60_orelha_de_elefante.jpg,640,640
Não Cortar,427,114,99,160,60_orelha_de_elefante.jpg,640,640
Não Cortar,275,162,102,103,60_orelha_de_elefante.jpg,640,640
Cortar,207,340,54,116,60_orelha_de_elefante.jpg,640,640
Cortar,561,208,79,141,60_orelha_de_elefante.jpg,640,640
Não Cortar,122,300,89,111,60_orelha_de_elefante.jpg,640,640
Não Cortar,131,477,118,163,60_orelha_de_elefante.jpg,640,640
Não Cortar,202,377,62,114,61_orelha_de_elefante.jpg,640,640
Não Cortar,584,175,47,79,61_orelha_de_elefante.jpg,640,640
Cortar,506,53,55,80,61_orelha_de_elefante.jpg,640,640
Não Cortar,98,176,69,89,61_orelha_de_elefante.jpg,640,640
Não Cortar,349,370,23,63,61_orelha_de_elefante.jpg,640,640
Não Cortar,317,431,79,117,61_orelha_de_elefante.jpg,640,640
Cortar,288,1,52,91,61_orelha_de_elefante.jpg,640,640
Não Cortar,583,270,57,78,61_orelha_de_elefante.jpg,640,640
Não Cortar,433,422,124,161,61_orelha_de_elefante.jpg,640,640
Cortar,246,241,58,128,61_orelha_de_elefante.jpg,640,640
Não Cortar,510,140,45,59,61_orelha_de_elefante.jpg,640,640
Cortar,589,511,51,129,61_orelha_de_elefante.jpg,640,640
Cortar,9,54,51,133,61_orelha_de_elefante.jpg,640,640
Não Cortar,6,383,91,136,61_orelha_de_elefante.jpg,640,640
Cortar,168,430,40,109,61_orelha_de_elefante.jpg,640,640
Cortar,395,0,148,155,62_orelha_de_elefante.jpg,640,640
Não Cortar,323,231,71,115,62_orelha_de_elefante.jpg,640,640
Cortar,563,420,74,137,62_orelha_de_elefante.jpg,640,640
Não Cortar,536,536,79,104,62_orelha_de_elefante.jpg,640,640
Não Cortar,212,283,28,74,62_orelha_de_elefante.jpg,640,640
Não Cortar,190,176,80,111,62_orelha_de_elefante.jpg,640,640
Não Cortar,253,487,54,117,62_orelha_de_elefante.jpg,640,640
Não Cortar,503,186,94,138,62_orelha_de_elefante.jpg,640,640
Não Cortar,33,131,93,156,62_orelha_de_elefante.jpg,640,640
Não Cortar,31,535,38,67,62_orelha_de_elefante.jpg,640,640
Não Cortar,220,0,77,92,62_orelha_de_elefante.jpg,640,640
Não Cortar,132,0,98,106,62_orelha_de_elefante.jpg,640,640
Não Cortar,77,321,58,69,62_orelha_de_elefante.jpg,640,640
Não Cortar,331,328,101,115,62_orelha_de_elefante.jpg,640,640
Não Cortar,463,401,49,88,62_orelha_de_elefante.jpg,640,640
Não Cortar,96,438,104,173,63_orelha_de_elefante.jpg,640,640
Não Cortar,328,271,94,99,63_orelha_de_elefante.jpg,640,640
Não Cortar,338,321,20,50,63_orelha_de_elefante.jpg,640,640
Não Cortar,312,366,63,84,63_orelha_de_elefante.jpg,640,640
Não Cortar,231,314,44,87,63_orelha_de_elefante.jpg,640,640
Cortar,84,67,47,92,63_orelha_de_elefante.jpg,640,640
Cortar,45,148,66,98,63_orelha_de_elefante.jpg,640,640
Não Cortar,528,230,64,86,63_orelha_de_elefante.jpg,640,640
Cortar,526,170,37,76,63_orelha_de_elefante.jpg,640,640
Não Cortar,476,149,28,54,63_orelha_de_elefante.jpg,640,640
